Continent_Name,Continent_Code,2016,2017,2018,2019,Code
Asia,AS,12295.958390037631,12454.89341258788,11190.78206152501,6654.448717296863,asia
Europe,EU,20820.875874908023,21305.737614451147,21405.8758264821,6703.374433299465,europe
Africa,AF,1931.0612880244753,1914.7862294339338,1589.5070644623597,1056.7909280061622,africa
Oceania,OC,5863.351470227442,5845.266486304722,5942.560429943091,2903.669347460074,oceania
"North America",NA,6156.581851664223,6050.7096966785375,5770.6972295633905,2692.4909109593355,northAmerica
"South America",SA,6516.142129110388,6547.901388090267,6566.550718911903,5090.678180141948,southAmerica
