Continent_Name,Continent_Code,2016,2017,2018,2019,Code
Asia,AS,558563156838.0953,604049194267.2709,640589476366.8531,652422841482.0889,asia
Europe,EU,387250682441.8349,411609616972.86774,440649576761.81195,433116698282.8092,europe
Africa,AF,39658271487.80528,39913374295.71559,41847927933.71518,43548865018.76876,africa
Oceania,OC,73260331727.37537,80048885353.94017,85217187580.29196,83206169026.03114,oceania
"North America",NA,651269010101.5771,678178164999.472,711649430440.9791,736811646174.1812,northAmerica
"South America",SA,269319727092.56555,305178596477.14325,283375432087.64276,272138056246.6887,southAmerica
