Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Cote d'Ivoire,CIV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1495.20943284041,1552.98835187085,1612.34706664718,..,..
Croatia,HRV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,14261.9968511362,15121.7157266148,15667.6619971029,16198.1330362947,..
Cuba,CUB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6453.72168724364,..,..,..,..
Curacao,CUW,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Cyprus,CYP,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,28455.5675555805,29708.1016707688,30392.1815403116,30999.0408279573,..
Czech Republic,CZE,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,20423.1912749485,21346.0790869814,22037.8134563322,..,..
Denmark,DNK,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,63401.0329623226,64068.3179412025,65569.5900464818,..,..
Djibouti,DJI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Dominica,DMA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Dominican Republic,DOM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6718.36655182965,6925.81673672418,7353.8246735606,7642.3864644845,..
Ecuador,ECU,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,5083.80476251027,5090.0502596883,5043.62613755488,4948.59172001864,..
"Egypt, Arab Rep.",EGY,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,2722.42278317594,2761.8042009245,2833.3250275202,..,..
El Salvador,SLV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3203.71316342922,3246.65012796825,3310.15347501483,3399.00702005642,..
Equatorial Guinea,GNQ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,9986.49912952781,8537.20451414035,7659.23778886785,7169.43703989424,..
Eritrea,ERI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Estonia,EST,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,17652.7681248487,18622.5153794534,19539.0410952047,..,..
Eswatini,SWZ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4400.27730437981,4422.55143944738,4338.92823833401,..,..
Ethiopia,ETH,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Faroe Islands,FRO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Fiji,FJI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Finland,FIN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,46993.06788285,48102.4516520912,48982.9341063146,49136.0805078104,..
France,FRA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,43043.1504864147,44047.1135391885,44705.8913721057,..,..
French Polynesia,PYF,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Gabon,GAB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,8996.65454140337,8927.17316716963,..,..,..
"Gambia, The",GMB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,731.280838250879,744.096101934691,770.524095923831,793.200452996531,..
Georgia,GEO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4104.06564263876,4283.57402423822,4541.15207171426,..,..
Germany,DEU,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,47103.03256042,48125.6406101482,48821.7132190952,..,..
Ghana,GHA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1612.19742550671,1690.69336265661,..,..,..
Gibraltar,GIB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Greece,GRC,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,22659.1202258351,23089.5551259267,23414.0555801912,..,..
Greenland,GRL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
