Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Rwanda,RWA,GNI (current US$),NY.GNP.MKTP.CD,8523018374.68712,8944450023.18015,9315415673.70221,9797950633.40339,..
Samoa,WSM,GNI (current US$),NY.GNP.MKTP.CD,780776447.182155,805303809.749172,790491817.331671,813355017.220832,..
San Marino,SMR,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Sao Tome and Principe,STP,GNI (current US$),NY.GNP.MKTP.CD,348498115.030543,373932767.891229,424765084.887884,424834962.325278,..
Saudi Arabia,SAU,GNI (current US$),NY.GNP.MKTP.CD,660662314773.333,699284026666.667,793635283040,800937405891.872,..
Senegal,SEN,GNI (current US$),NY.GNP.MKTP.CD,18541836256.6942,20409362881.7165,22635049460.209,22962881781.8747,..
Serbia,SRB,GNI (current US$),NY.GNP.MKTP.CD,38393068560.7834,41226658644.4368,48021113717.88,48635632231.3814,..
Seychelles,SYC,GNI (current US$),NY.GNP.MKTP.CD,1317488326.00773,1411550057.79474,1511273272.74135,1644781862.70517,..
Sierra Leone,SLE,GNI (current US$),NY.GNP.MKTP.CD,3276983580.95652,3629620900.30429,3798493994.47027,3668435544.63639,..
Singapore,SGP,GNI (current US$),NY.GNP.MKTP.CD,298505682229.461,315918821058.73,337387677935.943,337725186922.739,..
Sint Maarten (Dutch part),SXM,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Slovak Republic,SVK,GNI (current US$),NY.GNP.MKTP.CD,87309394911.4045,93503430815.539,104120448645.451,103877561130.565,..
Slovenia,SVN,GNI (current US$),NY.GNP.MKTP.CD,43517811181.9569,47683085572.4354,53182538536.3451,52973110610.092,..
Solomon Islands,SLB,GNI (current US$),NY.GNP.MKTP.CD,1164644963.63957,1246535220.7318,1334787198.99403,1356078405.47962,..
Somalia,SOM,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
