Continent_Name,Continent_Code,2016,2017,2018,2019,Code
Asia,AS,13469.53124418024,14344.464873029936,15366.491821241621,14868.580991031253,asia
Europe,EU,29474.297145104272,31080.43842695994,33649.92974711047,28151.046678219358,europe
Africa,AF,2426.981857410801,2583.204058478698,2736.013025038665,2665.788760333738,africa
Oceania,OC,12742.793094890203,13578.384921542238,13642.895748188284,7686.42926768684,oceania
"North America",NA,18201.630576416104,18743.80733872533,19494.85775369298,12826.22479045311,northAmerica
"South America",SA,7932.286536403448,8671.380269141313,8561.881437535074,8244.904941631205,southAmerica
