Continent_Name,Continent_Code,2016,2017,2018,2019,Code
Asia,AS,584238326116.0453,631348229195.5604,680716632985.4913,697045727351.8784,asia
Europe,EU,421321145844.97015,446792101436.25616,478617464992.23663,470860927760.08624,europe
Africa,AF,42950634632.41917,43462966058.20062,45797592673.389244,47539788686.80694,africa
Oceania,OC,84402360193.97173,92726867255.77243,99029192561.57027,96098085027.616,oceania
North America,NA,782367855505.0182,818254362601.6732,860822987895.0413,889625316575.7599,northAmerica
South America,SA,300695121048.68854,341142869288.59705,319490359635.29645,306652580957.4785,southAmerica
